Latitude,Longitude,Stop Name,Stop Status
40.794568,-73.948798,MADISON AV/E 107 ST,at stop
40.798381,-73.952795,CENTRAL PK N/MALCOLM X BL,at stop
40.810275,-73.962114,BROADWAY/W 120 ST,at stop
40.77036,-73.968563,5 AV/E 69 ST,at stop
40.775111,-73.963004,MADISON AV/E 77 ST,approaching
40.778784,-73.962419,5 AV/EAST 81 ST,approaching
40.746628,-73.984272,MADISON AV/E 32 ST,approaching
40.746693,-73.984426,MADISON AV/E 32 ST,approaching
40.776179,-73.962224,MADISON AV/E 79 ST,approaching
40.797118,-73.949795,CENTRAL PK N/5 AV,approaching
40.757141,-73.976111,MADISON AV/E 49 ST,approaching
40.797161,-73.949901,CENTRAL PK N/5 AV,approaching
40.796603,-73.948662,CENTRAL PK N/5 AV,approaching
40.746846,-73.984792,MADISON AV/E 32 ST,approaching
40.746926,-73.984984,MADISON AV/E 32 ST,approaching
40.806287,-73.965277,BROADWAY/W 112 ST,approaching
40.829411,-73.948153,BROADWAY/W 151 ST,approaching
40.851241,-73.938152,FT WASHINGTON AV/W 183 ST,approaching
40.746999,-73.985158,MADISON AV/E 32 ST,approaching
40.848858,-73.939176,FT WASHINGTON AV/W 177 ST,approaching
40.747365,-73.985337,MADISON AV/E 32 ST,< 1 stop away
40.770115,-73.968742,5 AV/W 66 ST,< 1 stop away
40.790367,-73.951871,MADISON AV/E 106 ST,< 1 stop away
40.859433,-73.933878,FT TRYON PARK/OPP CAFE LOT,< 1 stop away
